-50.0 -50.0 1052.7
-50.0 -48.0 1054.1
-50.0 -46.0 1055.6
-50.0 -44.0 1057.1
-50.0 -42.0 1058.7
-50.0 -40.0 1060.2
-50.0 -38.0 1061.9
-50.0 -36.0 1063.5
-50.0 -34.0 1065.3
-50.0 -32.0 1067.0
-50.0 -30.0 1068.8
-50.0 -28.0 1070.7
-50.0 -26.0 1072.6
-50.0 -24.0 1074.6
-50.0 -22.0 1076.6
-50.0 -20.0 1078.6
-50.0 -18.0 1080.8
-50.0 -16.0 1083.0
-50.0 -14.0 1085.2
-50.0 -12.0 1087.5
-50.0 -10.0 1089.9
-50.0 -8.0 1092.3
-50.0 -6.0 1094.8
-50.0 -4.0 1097.4
-50.0 -2.0 1100.0
-50.0 0.0 1102.7
-50.0 2.0 1100.0
-50.0 4.0 1097.4
-50.0 6.0 1094.8
-50.0 8.0 1092.3
-50.0 10.0 1089.9
-50.0 12.0 1087.5
-50.0 14.0 1085.2
-50.0 16.0 1083.0
-50.0 18.0 1080.8
-50.0 20.0 1078.6
-50.0 22.0 1076.6
-50.0 24.0 1074.6
-50.0 26.0 1072.6
-50.0 28.0 1070.7
-50.0 30.0 1068.8
-50.0 32.0 1067.0
-50.0 34.0 1065.3
-50.0 36.0 1063.5
-50.0 38.0 1061.9
-50.0 40.0 1060.2
-50.0 42.0 1058.7
-50.0 44.0 1057.1
-50.0 46.0 1055.6
-50.0 48.0 1054.1
-50.0 50.0 1052.7
-48.0 -50.0 1054.1
-48.0 -48.0 1055.6
-48.0 -46.0 1057.1
-48.0 -44.0 1058.7
-48.0 -42.0 1060.2
-48.0 -40.0 1061.9
-48.0 -38.0 1063.5
-48.0 -36.0 1065.3
-48.0 -34.0 1067.0
-48.0 -32.0 1068.8
-48.0 -30.0 1070.7
-48.0 -28.0 1072.6
-48.0 -26.0 1074.6
-48.0 -24.0 1076.6
-48.0 -22.0 1078.6
-48.0 -20.0 1080.8
-48.0 -18.0 1083.0
